ClimateID,Date,Province,Precipitation_mm
8200091,1995-06-01,NS,61.0
8200091,1995-07-01,NS,108.4
8200091,1995-08-01,NS,0.0
8200091,1995-09-01,NS,7.4
8200091,1995-10-01,NS,82.4
8200091,1995-11-01,NS,111.2
8200091,1995-12-01,NS,29.0
8200091,1996-01-01,NS,52.6
8200091,1996-02-01,NS,70.0
8200091,1996-03-01,NS,52.8
8200091,1996-04-01,NS,68.8
8200091,1996-05-01,NS,83.4
8200091,1996-06-01,NS,50.2
8200091,1996-07-01,NS,82.0
8200091,1996-08-01,NS,10.8
8200091,1996-09-01,NS,223.6
8200091,1996-10-01,NS,99.0
8200091,1996-11-01,NS,70.8
8200091,1996-12-01,NS,87.2
8200091,1997-01-01,NS,45.8
8200091,1997-02-01,NS,40.8
8200091,1997-03-01,NS,72.0
8200091,1997-04-01,NS,37.6
8200091,1997-05-01,NS,65.2
8200091,1997-06-01,NS,51.0
8200091,1997-07-01,NS,56.0
8200091,1997-08-01,NS,20.2
8200091,1997-09-01,NS,95.0
8200091,1997-10-01,NS,19.2
8200091,1997-11-01,NS,52.6
8200091,1997-12-01,NS,48.8
8200091,1998-01-01,NS,118.6
8200091,1998-02-01,NS,28.0
8200091,1998-03-01,NS,55.4
8200091,1998-04-01,NS,104.8
8200091,1998-05-01,NS,52.4
8200091,1998-06-01,NS,62.2
8200091,1998-07-01,NS,25.0
8200091,1998-10-01,NS,97.0
8200091,1998-11-01,NS,59.4
8200091,1998-12-01,NS,56.6
8200091,1999-01-01,NS,111.2
8200091,1999-02-01,NS,50.4
8200091,1999-03-01,NS,59.2
8200091,1999-04-01,NS,38.4
8200091,1999-05-01,NS,22.0
8200091,1999-06-01,NS,21.2
8200091,1999-07-01,NS,44.0
8200091,1999-08-01,NS,90.2
8200091,1999-09-01,NS,143.6
8200091,1999-10-01,NS,78.4
8200091,1999-11-01,NS,29.4
8200091,1999-12-01,NS,100.6
8200091,2000-01-01,NS,131.8
8200091,2000-02-01,NS,29.0
8200091,2000-03-01,NS,65.4
8200091,2000-04-01,NS,57.6
8200091,2000-05-01,NS,104.2
8200091,2000-06-01,NS,49.8
8200091,2000-07-01,NS,37.8
8200091,2000-08-01,NS,58.4
8200091,2000-09-01,NS,78.2
8200091,2000-10-01,NS,149.0
8200091,2000-11-01,NS,133.6
8200091,2000-12-01,NS,63.8
8200091,2001-01-01,NS,38.4
8200091,2001-02-01,NS,44.6
8200091,2001-03-01,NS,43.4
8200091,2001-04-01,NS,87.6
8200091,2001-05-01,NS,169.8
8200091,2001-06-01,NS,59.6
8200091,2001-07-01,NS,28.2
8200091,2001-08-01,NS,15.0
8200091,2001-09-01,NS,37.4
8200091,2001-10-01,NS,2.8
8200091,2001-11-01,NS,32.6
8200091,2001-12-01,NS,52.4
8200091,2002-01-01,NS,68.2
8200091,2002-02-01,NS,77.8
8200091,2002-03-01,NS,64.4
8200091,2002-04-01,NS,134.0
8200091,2002-05-01,NS,64.2
8200091,2002-06-01,NS,46.6
8200091,2002-07-01,NS,70.6
8200091,2002-08-01,NS,32.8
8200091,2002-09-01,NS,167.0
8200091,2002-10-01,NS,75.4
8200091,2002-11-01,NS,228.0
8200091,2002-12-01,NS,73.8
8200091,2003-01-01,NS,38.4
8200091,2003-02-01,NS,52.2
8200091,2003-03-01,NS,177.2
8200091,2003-04-01,NS,83.0
8200091,2003-05-01,NS,51.6
8200091,2003-06-01,NS,44.4
8200091,2003-07-01,NS,110.2
8200091,2003-08-01,NS,81.4
8200091,2003-09-01,NS,29.0
8200091,2003-10-01,NS,121.6
8200091,2003-11-01,NS,50.2
8200091,2003-12-01,NS,78.4
8200091,2004-01-01,NS,18.4
8200091,2004-02-01,NS,51.4
8200091,2004-03-01,NS,63.8
8200091,2004-04-01,NS,101.0
8200091,2004-05-01,NS,22.0
8200091,2004-06-01,NS,84.8
8200091,2004-07-01,NS,5.4
8200091,2004-08-01,NS,16.8
8200091,2004-09-01,NS,42.4
8200091,2004-10-01,NS,93.4
8200091,2004-12-01,NS,70.2
8200091,2005-01-01,NS,13.0
8200091,2005-02-01,NS,24.0
8200091,2005-03-01,NS,59.8
8200091,2005-04-01,NS,101.6
8200091,2005-05-01,NS,11.0
8200100,1995-01-01,NS,136.3
8200100,1995-02-01,NS,82.3
8200100,1995-03-01,NS,42.8
8200100,1995-04-01,NS,86.8
8200100,1995-05-01,NS,61.8
8200100,1995-06-01,NS,88.2
8200100,1995-07-01,NS,67.4
8200100,1995-08-01,NS,70.4
8200100,1995-09-01,NS,55.4
8200100,1995-10-01,NS,116.0
8200100,1995-11-01,NS,159.6
8200100,1995-12-01,NS,87.0
8200100,1996-01-01,NS,107.6
8200100,1996-02-01,NS,133.3
8200100,1996-03-01,NS,52.0
8200100,1996-04-01,NS,116.6
8200100,1996-05-01,NS,94.4
8200100,1996-06-01,NS,89.4
8200100,1996-07-01,NS,158.4
8200100,1996-08-01,NS,15.4
8200100,1996-09-01,NS,206.6
8200100,1996-10-01,NS,103.2
8200100,1996-11-01,NS,98.0
8200100,1996-12-01,NS,123.2
8200100,1997-01-01,NS,117.0
8200100,1997-02-01,NS,111.4
8200100,1997-03-01,NS,141.6
8200100,1997-04-01,NS,79.6
8200100,1997-05-01,NS,90.6
8200100,1997-06-01,NS,56.4
8200100,1997-07-01,NS,28.7
8200100,1997-08-01,NS,48.2
8200100,1997-09-01,NS,56.2
8200100,1997-10-01,NS,40.4
8200100,1997-11-01,NS,90.8
8200100,1997-12-01,NS,70.8
8200100,1998-01-01,NS,141.6
8200100,1998-02-01,NS,47.2
8200100,1998-03-01,NS,98.6
8200100,1998-04-01,NS,67.8
8200100,1998-05-01,NS,26.2
8200100,1998-06-01,NS,66.6
8200100,1998-07-01,NS,59.0
8200100,1998-08-01,NS,65.8
8200100,1998-09-01,NS,141.2
8200100,1998-10-01,NS,223.4
8200100,1998-11-01,NS,76.1
8200100,1998-12-01,NS,64.8
8200100,1999-01-01,NS,105.6
8200100,1999-02-01,NS,53.8
8200100,1999-03-01,NS,113.4
8200100,1999-04-01,NS,39.6
8200100,1999-05-01,NS,41.6
8200100,1999-06-01,NS,48.8
8200100,1999-07-01,NS,63.2
8200100,1999-08-01,NS,97.1
8200100,1999-09-01,NS,270.2
8200100,1999-11-01,NS,69.6
8200100,1999-12-01,NS,151.6
8200100,2000-01-01,NS,133.6
8200100,2000-02-01,NS,63.6
8200100,2000-03-01,NS,94.6
8200100,2000-04-01,NS,87.4
8200100,2000-05-01,NS,105.2
8200100,2000-06-01,NS,58.8
8200100,2000-07-01,NS,45.6
8200100,2000-08-01,NS,51.8
8200100,2000-09-01,NS,96.4
8200100,2000-10-01,NS,172.0
8200100,2000-11-01,NS,81.8
8200100,2000-12-01,NS,118.4
8200100,2001-01-01,NS,95.0
8200100,2001-02-01,NS,61.4
8200100,2001-03-01,NS,66.6
8200100,2001-04-01,NS,89.8
8200100,2001-05-01,NS,108.8
8200100,2001-06-01,NS,54.2
8200100,2001-07-01,NS,16.0
8200100,2001-08-01,NS,14.8
8200100,2001-09-01,NS,64.0
8200100,2001-10-01,NS,69.8
8200100,2001-11-01,NS,127.7
8200100,2001-12-01,NS,79.2
8200100,2002-01-01,NS,158.9
8200100,2002-02-01,NS,77.8
8200100,2002-03-01,NS,101.9
8200100,2002-04-01,NS,167.1
8200100,2002-05-01,NS,80.6
8200100,2002-06-01,NS,68.0
8200100,2002-07-01,NS,33.4
8200100,2002-08-01,NS,26.6
8200100,2002-09-01,NS,219.0
8200100,2002-10-01,NS,92.4
8200100,2002-11-01,NS,232.0
8200100,2002-12-01,NS,74.4
8200100,2003-01-01,NS,119.0
8200100,2003-02-01,NS,182.4
8200100,2003-03-01,NS,194.6
8200100,2003-04-01,NS,52.8
8200100,2003-05-01,NS,64.8
8200100,2003-06-01,NS,67.6
8200100,2003-07-01,NS,81.6
8200100,2003-08-01,NS,161.4
8200100,2003-09-01,NS,105.4
8200100,2003-10-01,NS,132.2
8200100,2003-11-01,NS,68.6
8200100,2003-12-01,NS,91.3
8200100,2004-01-01,NS,111.8
8200100,2004-02-01,NS,67.6
8200100,2004-03-01,NS,100.0
8200100,2004-05-01,NS,63.6
8200100,2004-06-01,NS,63.8
8200100,2004-07-01,NS,70.8
8200100,2004-08-01,NS,71.4
8200100,2004-09-01,NS,63.6
8200100,2004-11-01,NS,144.6
8200100,2004-12-01,NS,109.6
8200100,2005-01-01,NS,149.4
8200100,2005-02-01,NS,53.0
8200100,2005-04-01,NS,114.9
8200100,2005-08-01,NS,34.0
8200100,2005-11-01,NS,134.6
8200100,2005-12-01,NS,153.4
8200100,2006-01-01,NS,98.4
8200100,2006-02-01,NS,87.2
8200100,2006-05-01,NS,26.4
8200100,2006-07-01,NS,40.2
8200100,2006-08-01,NS,10.8
8200100,2006-10-01,NS,17.2
8200100,2006-11-01,NS,64.9
8200100,2007-02-01,NS,11.2
8200100,2007-03-01,NS,14.0
8200100,2007-04-01,NS,23.2
8200100,2007-05-01,NS,45.2
8200100,2007-06-01,NS,6.2
8200152,2009-01-01,NS,123.4
8200152,2009-02-01,NS,94.3
8200152,2009-03-01,NS,134.4
8200152,2009-04-01,NS,47.8
8200180,2000-12-01,NS,176.0
8200180,2001-01-01,NS,111.2
8200180,2001-02-01,NS,125.6
8200180,2001-03-01,NS,87.8
8200180,2001-04-01,NS,136.4
8200180,2001-05-01,NS,208.4
8200180,2001-06-01,NS,83.6
8200180,2001-07-01,NS,74.4
8200180,2001-08-01,NS,46.4
8200180,2001-09-01,NS,121.0
8200180,2001-10-01,NS,91.8
8200180,2001-11-01,NS,125.4
8200180,2001-12-01,NS,66.2
8200180,2002-01-01,NS,167.6
8200180,2002-02-01,NS,131.4
8200180,2002-03-01,NS,144.2
8200180,2002-04-01,NS,130.6
8200180,2002-05-01,NS,96.6
8200180,2002-06-01,NS,75.0
8200180,2002-07-01,NS,91.2
8200180,2002-08-01,NS,114.6
8200180,2002-09-01,NS,209.4
8200180,2002-10-01,NS,132.8
8200180,2002-11-01,NS,279.6
8200180,2002-12-01,NS,129.2
8200180,2003-01-01,NS,107.0
8200180,2003-02-01,NS,159.6
8200180,2003-03-01,NS,158.4
8200180,2003-04-01,NS,82.2
8200180,2003-05-01,NS,46.8
8200180,2003-06-01,NS,84.8
8200180,2003-07-01,NS,43.2
8200180,2003-08-01,NS,121.8
8200180,2003-09-01,NS,147.6
8200180,2003-10-01,NS,154.6
8200180,2003-11-01,NS,88.6
8200180,2003-12-01,NS,193.8
8200180,2004-01-01,NS,66.8
8200180,2004-02-01,NS,99.6
8200180,2004-03-01,NS,79.2
8200200,1995-01-01,NS,160.0
8200200,1995-02-01,NS,86.0
8200200,1995-03-01,NS,42.0
8200200,1995-04-01,NS,80.0
8200200,1995-05-01,NS,63.0
8200200,1995-06-01,NS,118.0
8200200,1995-07-01,NS,136.5
